English Terms,中文术语,中文定义,
PEGY Ratio,市盈率与增长及股息比率,市盈率与增长比率的一种变奏，计算方法为市盈率除以盈利增长率与股息收益,
Pegged exchange rate,联系汇率,通过将货币汇率固定于与另一个国家相同的汇率而稳定货币,
Perfect Competition ,完全竞争,完全竞争市场又称纯粹竞争市场或自由竞争市场，是指一个行业中有非常多的生产销售企业，它们都以同样的方式向市场提供同类的、标准化的产品（如粮食、棉花等农产品）的市场。,
Performance Shares,表现股票,指在公司实现既定表现标准时给与管理人员的股份,
Perpetual Bond,永久债券,不设到期日的债券。永久债券不可赎回，但可提供永久的利息收入,
Perpetuity,永久年金,无到期日的持续定额现金流,
Personal Finance,个人理财,个人的财务计划。一般来说，包含分析当时财务状况、预测短期及长期财务需要，及就财务策略作出建议，这可能包括就退休金、学费、房地产抵押、寿险及投资作出建议,
Personal Income,个人收入,来自薪金、商业企业及各种投资的个人盈利总额,
Petty Cash,零用现金、小额出纳金,公司用来进行小额购物及向客户提供找瞩的小额现金及辅币,
Phantom Stock,影子股票,员工福利计划，给与部分员工(高级管理人员)公司权益，但不给与实质股票,
Portfolio ,投资组合,一名投资者持有的资产组合，例如股票、债券及共同基金。为减低风险，投资者倾向持有超过一种的股票及其他资产,
Portfolio Income,投资组合收入,来自投资的收入，包括股息、利息、专利权税及资本收益,
Portfolio Insurance,投资组合保险,通过卖空股票指数期货对冲股票投资组合的市场风险,
Portfolio Manager,投资组合经理,负责共同基金投资、执行投资策略及日常买卖活动的专业人士,
Portfolio Management,投资组合管理,作出投资组合及政策、达成投资目标、个人及机构资产分配及平衡风险与表现等重要决定，是艺术也是科学,
Position,投资持有量,一名个人投资者或经纪人拥有(买空)或借入(卖空)证券的数量,
Positive Volume Index (PVI),正交易量指数,针对交易量远高于之前一天的日子的指数,
Post-Money Valuation,交易后估值,公司在将外部融资额加入资产负债表后的价值,
Power of Attorney,授权书,授权其他人士在某些情况下代表处理事务,
Power Ratio,能量比率,衡量媒体公司的收入相对控制观众份额的表现。,
Pre-Market Trading,开市前交易,正常开市时间之前进行的买卖交易,
Pre-Money Valuation,交易前估值,公司在将外部融资额加入资产负债表前的价值,
Precious Metal,贵重金属,黄金、铱、钯、白金及银等有价值金属的统称,
Preemptive Right,优先权,给与公司现有普通股股东在未来股票发行时享有购买股票的优先权,
Preferred Stock,优先股,相对普通股享有优先派发股息权的股票等级。优先股一般没有投票权,
Premium Bond,溢价债券,价值高于面值的债券,
Prepackaged Bankruptcy,预先包装的破产,指公司在申请破产前编制改组计划，并与债权人与股东进行过商讨及投票,
Prepayment Risk,预付风险,还款高于预定偿还金额引起的不明朗因素,
Present Value,现值,假定一个回报率，计算一笔未来资金在今天的价值,
Press Release,新闻稿,如果是盈利公布，新闻稿包含最近季度的财务业绩，也可能包括公司管理人员的评论。新闻稿经常包括有助研究的联系信息，例如公司的网站,
Price Discovery,价格发现,利用基本的市场供求因素决定特定商品的价格,
Price-Earnings Ratio,市盈率,估值比率，指公司当时股价与每股盈利的比率,
Price-Earnings Relative,相对市盈率比率,一种股票的市盈率除以一个市场的总体市盈率，例如标准普尔500或Wilshire 5000指数,
PEG Ratio,市盈率与增长比率,用作评估股票计入盈利增长因素的价值的比率,
PEGY Ratio,市盈率与增长及股息比率,市盈率与增长比率的一种变奏，计算方法为市盈率除以盈利增长率与股息收益,
Price-To-Book Ratio,股价与账面价值比率,股票市场价值与账面价值的比率。计算方法为股票当时收盘价格除以最近一个季度的账面价值,
Price-To-Cash-Flow Ratio,股价与现金流比率,衡量市场对公司未来财务健全状况期望的指标。计算方法为每股股价除以每股现金流,
Price-To-Sales Ratio,股价与销售额比率,评估股票估值相对本身往绩、其他公司及市场总体的水平。计算方法为当时股价除以每股收入,
Price Elasticity of Demand,需求的价格弹性,价格弹性计算一种货品的需求量对价格变动的反应。计算的方法为：,
Price Risk,价格风险,一种证券或一个投资组合未来价格下跌的风险,
Price Target,价格目标,投资分析员或顾问发表的预测价格水平,
Pricing Power,定价能力,经济学用词，指公司产品价格变动对产品需求量的影响。定价能力与“需求的价格弹性”是两个相配合的理论,
Primary Market,初级市场,投资者有机会购买新发行证券的市场,
Prime Rate,最优惠利率,商业银行向最重要或信用质素最佳的客户，一般是大型机构，收取的利率,
Private Banking,私人银行,除了提供信贷和投资管理服务外，私人银行还可解决多方面的个人财务问题。服务范围广泛，包括现有资产的保护及增长、计划退休及下一代的财产承继等,
Private Company,私人公司,私人拥有的公司，因此无需遵守证监会对上市公司的严格申报要求,
Private Equity,私人股本,指没有在股票市场挂牌，但企业或投资者可参与的股本资金。筹集的资金可用作开发新产品或科技、增加周转资金、进行收购或强化公司的资产负债表,
"""Private Investment, Public Equity (PIPE)""",私人投资公开股票　,指私人投资或共同基金以低于当时市场价值的价格买入一家公司的普通股,
Private Placement,私募,通过非公开证券配售(相对于公开配售)筹集资金。一般的结果是买入证券的投资者数目较小,
Privatization ,民营化,政府将持有权益转让给私人企业,
Pro Bono,以公共福利为目的,为公共福利，而非为了谋求利润的行为,
Pro Forma,备考、模拟,拉丁文用词，对投资界而言，指计算财务业绩，以强调当时或预计数据的方法,
Pro Forma Earnings,备考盈利,利用备考方式，而不是标准通用会计制度而得出的盈利,
Pro Rata,按比例,指按比例分配,
Producer Price Index (PPI),生产价格指数,衡量在特定期间国内生产商出售货品及服务收取价格的平均变动的指数系列。生产物价指数是从卖方角度衡量价格变动的指标,
Productivity,生产力,每单位投入可得的生产量,
Profit ,利润,与净收入一样，指公司的总盈利减开支,
Profit Center,利润中心,一家公司旗下可独立赚取利润的分行或部门,
Profit Margin,利润率,盈利能力的指标，计算方法为税后净利润除以总收入。利润率一般以百分比表示,
Profit Sharing Plan,利润分成计划,公司员工分享公司利润的制度。公司决定分配给员工的利润部分的金额，然后每名员工会收到(存入户口)该部分利润的一个百分比。公司一般会对员工无条件提取资金的方法与时间有一定的限制,
Profit Taking,获利抛售,指交易商在股价急升时出售股票，换取现金。这个行为会导致股价短暂下跌,
Profit Warning,利润预警,指一家公司指出其盈利可能未能达到研究分析员的预测,
Progressive Tax,累进税,高收入人士的税率高于低收入人士的税务制度,
Project Finance,项目融资,国际项目融资协议对项目融资的定义为：长期基础设施、工业项目及公共服务的融资活动，一般采用无追索权或有限追索权的财务结构，即利用项目产生的现金流偿付项目的债务及股本,
Promissory Note,本票,一份书面、附有日期及双方签署的文件，声明付款方在受款方要求下或在特定的未来日期向受款方支付特定金额款项的无条件承诺,
Property,财产,合法拥有的财产或房地产,
